ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,DOB,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,Credit Status
5008827,Male,Yes,Yes,0,180000,Pensioner,Higher education,Married,House / apartment,24-05-1951,1,0,0,0,Unknown,2,bad credit
5009744,Female,Yes,No,0,315000,Commercial associate,Higher education,Married,House / apartment,11-02-1937,1,1,1,0,Unknown,2,bad credit
5009746,Female,Yes,No,0,315000,Commercial associate,Higher education,Married,House / apartment,27-12-1942,1,1,1,0,Unknown,2,bad credit
5009749,Female,Yes,No,0,166500,Commercial associate,Higher education,Married,House / apartment,11-02-1937,1,1,1,0,Unknown,2,bad credit
5009752,Female,Yes,No,0,315000,Commercial associate,Higher education,Married,House / apartment,11-02-1937,1,1,1,0,Unknown,2,bad credit
5009754,Female,Yes,No,0,315000,Commercial associate,Higher education,Married,House / apartment,11-02-1937,1,1,1,0,Unknown,2,bad credit
5009894,Female,No,No,0,180000,Pensioner,Secondary / secondary special,Married,House / apartment,06-08-1960,1,0,0,0,Unknown,2,bad credit
5010864,Male,Yes,Yes,1,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,02-10-1949,1,0,1,1,Core staff,3,bad credit
5010868,Male,Yes,Yes,1,450000,Pensioner,Secondary / secondary special,Married,House / apartment,02-10-1949,1,0,1,1,Core staff,3,bad credit
5010869,Male,Yes,Yes,1,450000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,02-10-1949,1,0,1,1,Core staff,1,bad credit
5018498,Female,Yes,Yes,0,90000,Working,Secondary / secondary special,Married,House / apartment,18-11-1951,1,1,1,0,Cooking staff,2,bad credit
5018501,Female,Yes,Yes,0,166500,Working,Secondary / secondary special,Married,House / apartment,18-11-1951,1,1,1,0,Cooking staff,2,bad credit
5018503,Female,Yes,Yes,0,90000,Working,Secondary / secondary special,Married,House / apartment,18-11-1951,1,1,1,0,Cooking staff,2,bad credit
5021303,Male,No,No,1,472500,Pensioner,Higher education,Married,With parents,20-05-1924,1,0,0,1,Unknown,3,bad credit
5021310,Male,No,Yes,0,270000,Working,Secondary / secondary special,Married,House / apartment,04-04-1946,1,0,0,0,Laborers,2,bad credit
5021314,Male,No,Yes,0,270000,Working,Secondary / secondary special,Single / not married,House / apartment,04-04-1946,1,0,0,0,Laborers,2,bad credit
5021430,Female,No,Yes,0,126000,Commercial associate,Higher education,Single / not married,House / apartment,06-10-1951,1,0,0,0,Sales staff,1,bad credit
5021431,Female,No,Yes,0,126000,Commercial associate,Higher education,Single / not married,House / apartment,06-10-1951,1,0,0,0,Sales staff,1,bad credit
5021998,Male,No,Yes,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,23-08-1951,1,0,0,1,Unknown,2,bad credit
5022053,Male,No,No,0,202500,Working,Higher education,Single / not married,House / apartment,27-01-1935,1,0,0,0,Unknown,1,bad credit
5022617,Male,Yes,Yes,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,29-11-1932,1,0,0,1,Laborers,2,bad credit
5023781,Male,No,Yes,0,157500,Commercial associate,Higher education,Civil marriage,House / apartment,24-09-1948,1,0,0,0,Accountants,2,bad credit
5023831,Female,No,Yes,2,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,22-03-1933,1,0,0,0,Sales staff,4,bad credit
5024071,Female,No,Yes,0,180000,Working,Higher education,Married,House / apartment,27-09-1943,1,0,0,0,Laborers,2,bad credit
5024213,Female,Yes,Yes,0,540000,Commercial associate,Higher education,Married,House / apartment,27-12-1942,1,0,1,0,Unknown,2,bad credit
5024916,Female,No,Yes,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,09-10-1959,1,0,1,0,Unknown,2,bad credit
5024917,Female,No,Yes,0,166500,Pensioner,Secondary / secondary special,Married,House / apartment,09-10-1959,1,0,1,0,Unknown,2,bad credit
5028580,Male,No,No,0,540000,Commercial associate,Higher education,Married,House / apartment,29-09-1954,1,0,0,0,Managers,2,bad credit
5029028,Female,No,Yes,0,90000,Working,Lower secondary,Single / not married,Rented apartment,03-12-1932,1,0,0,0,Cleaning staff,2,bad credit
5029311,Female,No,Yes,0,112500,Pensioner,Secondary / secondary special,Married,House / apartment,22-11-1959,1,0,1,1,Unknown,2,bad credit
5033453,Female,No,No,0,135000,Working,Higher education,Single / not married,House / apartment,05-06-1929,1,0,0,0,Laborers,1,bad credit
5033514,Female,Yes,No,1,135000,Working,Secondary / secondary special,Married,House / apartment,03-09-1943,1,1,0,0,Sales staff,3,bad credit
5033916,Male,No,Yes,0,180000,Working,Secondary / secondary special,Married,House / apartment,19-08-1935,1,0,0,0,Unknown,2,bad credit
5036469,Male,Yes,No,0,112500,State servant,Secondary / secondary special,Single / not married,House / apartment,01-09-1955,1,0,0,0,Drivers,2,bad credit
5036590,Male,Yes,Yes,0,292500,Working,Higher education,Married,House / apartment,23-08-1957,1,0,0,0,Drivers,2,bad credit
5036660,Female,Yes,Yes,0,76500,Pensioner,Secondary / secondary special,Married,House / apartment,03-04-1965,1,0,0,0,Unknown,2,bad credit
5036795,Male,Yes,Yes,0,215100,Commercial associate,Secondary / secondary special,Married,House / apartment,30-06-1952,1,0,1,0,Laborers,2,bad credit
5041522,Male,Yes,Yes,0,450000,Commercial associate,Higher education,Separated,House / apartment,07-04-1944,1,1,1,0,Unknown,1,bad credit
5042064,Female,Yes,No,2,270000,State servant,Higher education,Married,House / apartment,13-12-1943,1,1,1,0,Unknown,4,bad credit
5045888,Female,No,Yes,0,225000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,02-10-1963,1,0,0,0,Unknown,1,bad credit
5045894,Female,No,Yes,0,225000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,02-10-1963,1,0,0,0,Unknown,1,bad credit
5045895,Female,No,Yes,0,225000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,02-10-1963,1,0,0,0,Unknown,1,bad credit
5046324,Female,No,Yes,1,157500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,05-05-1942,1,0,1,0,Low-skill Laborers,3,bad credit
5046328,Female,No,Yes,1,157500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,05-05-1942,1,0,1,0,Low-skill Laborers,3,bad credit
5047662,Female,No,Yes,1,67500,Commercial associate,Secondary / secondary special,Married,House / apartment,09-09-1951,1,0,0,0,Accountants,3,bad credit
5048300,Male,Yes,No,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,13-05-1930,1,0,0,0,Laborers,3,bad credit
5048301,Male,Yes,No,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,13-05-1930,1,0,0,0,Laborers,3,bad credit
5050603,Male,No,No,0,157500,Working,Secondary / secondary special,Married,House / apartment,05-03-1950,1,1,0,0,Laborers,2,bad credit
5050606,Male,No,No,0,157500,Working,Secondary / secondary special,Married,House / apartment,05-03-1950,1,1,0,0,Laborers,2,bad credit
5050671,Male,No,No,0,171000,Commercial associate,Incomplete higher,Single / not married,House / apartment,14-10-1931,1,1,1,0,High skill tech staff,1,bad credit
5051160,Male,Yes,No,1,135000,Working,Secondary / secondary special,Married,House / apartment,07-04-1926,1,0,0,0,Laborers,3,bad credit
5051161,Male,Yes,No,1,135000,Working,Secondary / secondary special,Married,House / apartment,07-04-1926,1,0,0,0,Laborers,3,bad credit
5052659,Female,No,Yes,0,103500,Working,Secondary / secondary special,Married,House / apartment,17-06-1928,1,0,0,1,IT staff,2,bad credit
5052661,Female,No,Yes,0,103500,Working,Secondary / secondary special,Married,House / apartment,17-06-1928,1,0,0,1,IT staff,2,bad credit
5052877,Male,Yes,Yes,0,225000,Working,Secondary / secondary special,Married,House / apartment,17-01-1949,1,0,0,0,Drivers,2,bad credit
5052879,Male,Yes,Yes,0,225000,Working,Secondary / secondary special,Married,House / apartment,17-01-1949,1,0,0,0,Drivers,2,bad credit
5052882,Male,Yes,Yes,0,225000,Working,Secondary / secondary special,Married,House / apartment,17-01-1949,1,0,0,0,Drivers,2,bad credit
5053254,Female,Yes,Yes,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,08-02-1951,1,1,0,0,Managers,2,bad credit
5054063,Male,No,No,1,157500,Working,Secondary / secondary special,Married,House / apartment,18-12-1944,1,0,0,0,Drivers,3,bad credit
5054068,Male,No,No,1,157500,Working,Secondary / secondary special,Married,House / apartment,18-12-1944,1,0,0,0,Drivers,1,bad credit
5054524,Female,No,No,2,180000,Working,Secondary / secondary special,Married,House / apartment,23-06-1945,1,0,0,0,Unknown,4,bad credit
5054525,Female,No,No,2,180000,Working,Secondary / secondary special,Single / not married,House / apartment,23-06-1945,1,0,0,0,Unknown,4,bad credit
5058345,Female,No,Yes,0,99000,Pensioner,Higher education,Separated,House / apartment,19-05-1967,1,0,0,0,Unknown,1,bad credit
5058348,Female,No,Yes,0,166500,Pensioner,Higher education,Separated,House / apartment,19-05-1967,1,0,0,0,Unknown,1,bad credit
5058350,Male,No,Yes,0,99000,Pensioner,Higher education,Separated,House / apartment,19-05-1967,1,0,0,0,Unknown,1,bad credit
5058352,Female,No,Yes,0,99000,Pensioner,Higher education,Separated,House / apartment,19-05-1967,1,0,0,0,Unknown,1,bad credit
5058530,Male,No,No,0,391500,Working,Secondary / secondary special,Single / not married,Municipal apartment,20-04-1925,1,0,0,0,Sales staff,1,bad credit
5058531,Male,No,No,0,391500,Working,Secondary / secondary special,Single / not married,Municipal apartment,20-04-1925,1,0,0,0,Sales staff,1,bad credit
5058532,Male,No,No,0,391500,Working,Secondary / secondary special,Single / not married,Municipal apartment,27-12-1942,1,0,0,0,Sales staff,1,bad credit
5061360,Male,No,Yes,0,65250,Pensioner,Higher education,Married,House / apartment,21-02-1957,1,0,0,0,Unknown,2,bad credit
5061396,Male,No,Yes,0,72900,Pensioner,Lower secondary,Married,House / apartment,16-02-1964,1,0,0,0,Unknown,2,bad credit
5061636,Female,No,Yes,0,225000,Pensioner,Secondary / secondary special,Married,Municipal apartment,24-04-1959,1,0,1,0,Unknown,2,bad credit
5061691,Female,No,Yes,1,67500,Commercial associate,Higher education,Married,House / apartment,21-12-1924,1,0,0,1,Waiters/barmen staff,3,bad credit
5062136,Male,No,No,1,180000,Working,Secondary / secondary special,Single / not married,House / apartment,12-06-1935,1,0,0,0,Laborers,2,bad credit
5062137,Male,No,Yes,1,166500,Working,Secondary / secondary special,Single / not married,House / apartment,12-06-1935,1,0,0,0,Laborers,2,bad credit
5065348,Female,Yes,Yes,0,202500,Working,Higher education,Married,House / apartment,03-07-1941,1,0,0,0,High skill tech staff,2,bad credit
5065462,Female,No,No,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,11-01-1952,1,0,0,0,Unknown,2,bad credit
5065518,Female,Yes,No,1,202500,Working,Higher education,Married,Rented apartment,13-01-1926,1,0,0,0,Laborers,3,bad credit
5068389,Female,Yes,Yes,1,270000,Working,Higher education,Separated,House / apartment,21-06-1938,1,0,1,0,Sales staff,2,bad credit
5068456,Female,Yes,No,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,07-03-1937,1,0,0,0,Unknown,2,bad credit
